COL_HEADERS|vd|ids|,
-1.00E-01,-7.11E-05
-9.90E-02,-7.04E-05
-9.80E-02,-6.96E-05
-9.70E-02,-6.89E-05
-9.60E-02,-6.82E-05
-9.50E-02,-6.75E-05
-9.40E-02,-6.68E-05
-9.30E-02,-6.61E-05
-9.20E-02,-6.54E-05
-9.10E-02,-6.47E-05
-9.00E-02,-6.40E-05
-8.90E-02,-6.33E-05
-8.80E-02,-6.26E-05
-8.70E-02,-6.19E-05
-8.60E-02,-6.12E-05
-8.50E-02,-6.05E-05
-8.40E-02,-5.98E-05
-8.30E-02,-5.91E-05
-8.20E-02,-5.84E-05
-8.10E-02,-5.76E-05
-8.00E-02,-5.69E-05
-7.90E-02,-5.62E-05
-7.80E-02,-5.55E-05
-7.70E-02,-5.48E-05
-7.60E-02,-5.41E-05
-7.50E-02,-5.34E-05
-7.40E-02,-5.27E-05
-7.30E-02,-5.20E-05
-7.20E-02,-5.13E-05
-7.10E-02,-5.06E-05
-7.00E-02,-4.99E-05
-6.90E-02,-4.91E-05
-6.80E-02,-4.84E-05
-6.70E-02,-4.77E-05
-6.60E-02,-4.70E-05
-6.50E-02,-4.63E-05
-6.40E-02,-4.56E-05
-6.30E-02,-4.49E-05
-6.20E-02,-4.42E-05
-6.10E-02,-4.35E-05
-6.00E-02,-4.28E-05
-5.90E-02,-4.20E-05
-5.80E-02,-4.13E-05
-5.70E-02,-4.06E-05
-5.60E-02,-3.99E-05
-5.50E-02,-3.92E-05
-5.40E-02,-3.85E-05
-5.30E-02,-3.78E-05
-5.20E-02,-3.71E-05
-5.10E-02,-3.64E-05
-5.00E-02,-3.57E-05
-4.90E-02,-3.49E-05
-4.80E-02,-3.42E-05
-4.70E-02,-3.35E-05
-4.60E-02,-3.28E-05
-4.50E-02,-3.21E-05
-4.40E-02,-3.14E-05
-4.30E-02,-3.07E-05
-4.20E-02,-3.00E-05
-4.10E-02,-2.92E-05
-4.00E-02,-2.85E-05
-3.90E-02,-2.78E-05
-3.80E-02,-2.71E-05
-3.70E-02,-2.64E-05
-3.60E-02,-2.57E-05
-3.50E-02,-2.50E-05
-3.40E-02,-2.43E-05
-3.30E-02,-2.35E-05
-3.20E-02,-2.28E-05
-3.10E-02,-2.21E-05
-3.00E-02,-2.14E-05
-2.90E-02,-2.07E-05
-2.80E-02,-2.00E-05
-2.70E-02,-1.93E-05
-2.60E-02,-1.86E-05
-2.50E-02,-1.78E-05
-2.40E-02,-1.71E-05
-2.30E-02,-1.64E-05
-2.20E-02,-1.57E-05
-2.10E-02,-1.50E-05
-2.00E-02,-1.43E-05
-1.90E-02,-1.36E-05
-1.80E-02,-1.28E-05
-1.70E-02,-1.21E-05
-1.60E-02,-1.14E-05
-1.50E-02,-1.07E-05
-1.40E-02,-9.99E-06
-1.30E-02,-9.28E-06
-1.20E-02,-8.57E-06
-1.10E-02,-7.85E-06
-1.00E-02,-7.14E-06
-9.00E-03,-6.43E-06
-8.00E-03,-5.71E-06
-7.00E-03,-5.00E-06
-6.00E-03,-4.28E-06
-5.00E-03,-3.57E-06
-4.00E-03,-2.86E-06
-3.00E-03,-2.14E-06
-2.00E-03,-1.43E-06
-1.00E-03,-7.14E-07
7.63E-17,6.94E-20
1.00E-03,7.14E-07
2.00E-03,1.43E-06
3.00E-03,2.14E-06
4.00E-03,2.86E-06
5.00E-03,3.57E-06
6.00E-03,4.28E-06
7.00E-03,5.00E-06
8.00E-03,5.71E-06
9.00E-03,6.43E-06
1.00E-02,7.14E-06
1.10E-02,7.85E-06
1.20E-02,8.57E-06
1.30E-02,9.28E-06
1.40E-02,9.99E-06
1.50E-02,1.07E-05
1.60E-02,1.14E-05
1.70E-02,1.21E-05
1.80E-02,1.28E-05
1.90E-02,1.36E-05
2.00E-02,1.43E-05
2.10E-02,1.50E-05
2.20E-02,1.57E-05
2.30E-02,1.64E-05
2.40E-02,1.71E-05
2.50E-02,1.78E-05
2.60E-02,1.86E-05
2.70E-02,1.93E-05
2.80E-02,2.00E-05
2.90E-02,2.07E-05
3.00E-02,2.14E-05
3.10E-02,2.21E-05
3.20E-02,2.28E-05
3.30E-02,2.35E-05
3.40E-02,2.43E-05
3.50E-02,2.50E-05
3.60E-02,2.57E-05
3.70E-02,2.64E-05
3.80E-02,2.71E-05
3.90E-02,2.78E-05
4.00E-02,2.85E-05
4.10E-02,2.92E-05
4.20E-02,3.00E-05
4.30E-02,3.07E-05
4.40E-02,3.14E-05
4.50E-02,3.21E-05
6.40E-02,4.56E-05
6.50E-02,4.63E-05
6.60E-02,4.70E-05
6.70E-02,4.77E-05
6.80E-02,4.84E-05
6.90E-02,4.91E-05
7.00E-02,4.99E-05
7.10E-02,5.06E-05
7.20E-02,5.13E-05
7.30E-02,5.20E-05
7.40E-02,5.27E-05
7.50E-02,5.34E-05
7.60E-02,5.41E-05
7.70E-02,5.48E-05
7.80E-02,5.55E-05
7.90E-02,5.62E-05
8.00E-02,5.69E-05
8.10E-02,5.76E-05
8.20E-02,5.84E-05
8.30E-02,5.91E-05
8.40E-02,5.98E-05
8.50E-02,6.05E-05
8.60E-02,6.12E-05
8.70E-02,6.19E-05
8.80E-02,6.26E-05
8.90E-02,6.33E-05
9.00E-02,6.40E-05
9.10E-02,6.47E-05
9.20E-02,6.54E-05
9.30E-02,6.61E-05
9.40E-02,6.68E-05
9.50E-02,6.75E-05
9.60E-02,6.82E-05
9.70E-02,6.89E-05
9.80E-02,6.96E-05
9.90E-02,7.04E-05
1.00E-01,7.11E-05
