2023-04-13 14:17:30,848 - Arc - INFO - ********************开始转换ads网表：F:\工作文件\ADS_files\A_netliat\Hisi_HBT\HBT_simple_1T\HBT_simple_1T_va.ads********************
2023-04-13 14:17:30,858 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,858 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,858 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,859 - Arc - WARNING - line: simulator lang=spectre, 未做转换
2023-04-13 14:17:30,859 - Arc - WARNING - line: global 0, 未做转换
2023-04-13 14:17:30,859 - Arc - WARNING - line: include "../model/btd_hbt.1.modelcard", 未做转换
2023-04-13 14:17:30,859 - Arc - WARNING - line: simulator lang=ads, 未做转换
2023-04-13 14:17:30,859 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,859 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,860 - Arc - WARNING - line: "HBTM1":HBT1, 暂未支持该语法转换：Mode=1
2023-04-13 14:17:30,860 - Arc - WARNING - line: "HBTM1":HBT1, 暂未支持该语法转换：SelfTmod=0
2023-04-13 14:17:30,860 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,860 - Arc - WARNING - line: Port:PORT1, 暂未支持该语法转换：Ohm Noise=yes P[1]=dbmtow(Pavs) Freq[1]=Rfreq GHz
2023-04-13 14:17:30,860 - Arc - WARNING - line: Port:Term2, 暂未支持该语法转换：Ohm
2023-04-13 14:17:30,860 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,861 - Arc - WARNING - line: V_Source:SRC2, 暂未支持该语法转换：V
2023-04-13 14:17:30,861 - Arc - WARNING - line: V_Source:SRC2, 暂未支持该语法转换：SaveCurrent=1
2023-04-13 14:17:30,861 - Arc - WARNING - line: V_Source:SRC3, 暂未支持该语法转换：V
2023-04-13 14:17:30,861 - Arc - WARNING - line: V_Source:SRC3, 暂未支持该语法转换：SaveCurrent=1
2023-04-13 14:17:30,861 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,862 - Arc - WARNING - line: CAPQ:C2, 暂未支持该语法转换：opt{
2023-04-13 14:17:30,862 - Arc - WARNING - line: CAPQ:C2, 暂未支持该语法转换：0.1
2023-04-13 14:17:30,862 - Arc - WARNING - line: CAPQ:C2, 暂未支持该语法转换：pF
2023-04-13 14:17:30,862 - Arc - WARNING - line: CAPQ:C2, 暂未支持该语法转换：to
2023-04-13 14:17:30,862 - Arc - WARNING - line: CAPQ:C2, 暂未支持该语法转换：10
2023-04-13 14:17:30,862 - Arc - WARNING - line: CAPQ:C2, 暂未支持该语法转换：pF
2023-04-13 14:17:30,862 - Arc - WARNING - line: CAPQ:C2, 暂未支持该语法转换：}
2023-04-13 14:17:30,863 - Arc - WARNING - line: CAPQ:C2, 暂未支持该语法转换：MHz
2023-04-13 14:17:30,863 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,863 - Arc - WARNING - line: #uselib "ckt" , "INDQ_Z", 未做转换
2023-04-13 14:17:30,863 - Arc - WARNING - line: INDQ_Z:L2, 暂未支持该语法转换：opt{
2023-04-13 14:17:30,863 - Arc - WARNING - line: INDQ_Z:L2, 暂未支持该语法转换：0.01
2023-04-13 14:17:30,863 - Arc - WARNING - line: INDQ_Z:L2, 暂未支持该语法转换：nH
2023-04-13 14:17:30,864 - Arc - WARNING - line: INDQ_Z:L2, 暂未支持该语法转换：to
2023-04-13 14:17:30,864 - Arc - WARNING - line: INDQ_Z:L2, 暂未支持该语法转换：10
2023-04-13 14:17:30,864 - Arc - WARNING - line: INDQ_Z:L2, 暂未支持该语法转换：nH
2023-04-13 14:17:30,864 - Arc - WARNING - line: INDQ_Z:L2, 暂未支持该语法转换：}
2023-04-13 14:17:30,864 - Arc - WARNING - line: INDQ_Z:L2, 暂未支持该语法转换：MHz
2023-04-13 14:17:30,864 - Arc - WARNING - line: INDQ_Z:L2, 暂未支持该语法转换：Ohm
2023-04-13 14:17:30,864 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,865 - Arc - WARNING - line: Component Module="LinearCollapse" Type="ModelExtractor" NetworkRepresentation=2, 未做转换
2023-04-13 14:17:30,865 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,865 - Arc - WARNING - line: S_Param:SP1  CalcS=yes CalcY=no CalcZ=no  GroupDelayAperture=1e-4 FreqConversion=no  FreqConversionPort=1 StatusLevel=2  CalcNoise=no SortNoise=0  BandwidthForNoise=1.0 Hz , 未做转换
2023-04-13 14:17:30,865 - Arc - WARNING - line:  DevOpPtLevel=0  SweepVar="freq" SweepPlan="SP1_stim" OutputPlan="SP1_Output", 未做转换
2023-04-13 14:17:30,865 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,865 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,866 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,866 - Arc - WARNING - line: , 未做转换
2023-04-13 14:17:30,866 - Arc - WARNING - line: , 未做转换
